p,Іноземна мова,Історія України,Біологія,Географія,Математика,Творчий конкурс,Українська література,Українська мова,Українська мова і література,Фізика,Хімія
К,,134,134,,100,,,144,,,
К,185,160,,,173,,,167,,,
1,,130,,170,140,,,140,,,
1,179,148,,,152,,,180,,,
1,,140,,,170,,,152,,166,
1,,140,,,149,,,165,,173,
1,,166,,,145,,,165,,166,
1,,142,,,167,,,159,,147,
1,159,141,,,147,,,175,,,
1,,149,,156,150,,,167,,,
1,153,149,,,151,,,163,,,
1,,,144,,157,,,142,,,
1,,144,,,147,,,163,,143,
2,,150,,,150,,,152,,143,
1,155,132,,,143,,,157,,,
1,,134,,152,149,,,145,,,
1,145,130,,,149,,,150,,,
1,134,140,,,148,,,154,,,
2,152,152,,,137,,,146,,,
1,125,140,,,147,,,157,,,
3,,149,,148,148,,,140,,,
1,148,141,,,147,,,134,,,
1,,141,,,143,,150,140,,,
2,,141,151,,140,,,144,,,
1,137,144,,,145,,,140,,,
4,149,145,,,140,,,145,,,
0,,138,,,131,,,145,,131,
4,,145,,,145,,,148,,109,
1,,132,,,115,,138,136,,,
1,,138,,,115,,,140,,118,
2,,134,,140,115,,,120,,,
1,,158,,160,170,,,165,,,
2,,163,,,145,,170,167,,,
1,,150,,,163,,,154,,149,
1,,146,,170,147,,,156,,,
1,,166,,152,145,,,157,,,
1,157,151,,,145,,,152,,,
1,,148,,,145,,,162,,137,
1,,140,,148,145,,,148,,,
1,,146,,,137,,,153,,,
1,,142,151,,149,,,125,,,
1,,142,,140,140,,,146,,,
1,131,144,,,140,,,152,,,
3,134,136,,,147,,,149,,,
1,,145,,,151,,,150,,118,
1,134,148,,,131,,,143,,,
1,,141,145,,123,,,142,,,
1,,138,,,123,,125,148,,,
1,,138,,136,134,,,110,,,
1,,142,,,131,,,136,,100,
1,,156,,,151,,165,165,,,
1,155,150,,,152,,,160,,,
1,162,169,,,134,,,156,,,
1,,147,,150,147,,,149,,,
3,147,152,,,151,,,146,,,
1,,151,,,159,,,156,,125,
1,,149,,156,140,,,144,,,
1,140,,,,145,,,149,,,
1,147,142,,,137,,,148,,,
1,,146,,,134,,,151,,,
1,,147,,,140,,,146,,137,
1,,156,,,131,,,138,,147,
1,147,142,,,140,,,136,,,
1,134,143,,,134,,,146,,,
2,,132,,148,131,,,146,,,
2,,120,,,123,,,165,,143,
1,,144,,164,115,,,150,,,
4,,143,138,,134,,,145,,,
3,,144,,,134,,,142,,,
1,,146,,,125,,,142,,,
1,,147,,156,115,,,142,,,
3,,142,,,149,,,165,,100,
0,134,142,,,115,,,134,,,
1,,177,,,180,,,175,,166,
1,148,158,,,159,,,170,,,
2,,143,,,148,,,170,,140,
3,,177,,,143,,,156,,143,
1,,138,,,145,,,156,,147,
1,131,148,,,150,,,146,,,
5,155,138,,,145,,,150,,,
1,151,145,,,134,,,146,,,
1,,141,,150,131,,,148,,,
1,,132,,,140,,,150,,134,
1,,146,,,140,,,140,,134,
5,,141,,150,134,,,145,,,
1,,136,,147,134,,,138,,,
1,,138,,,140,,,138,,134,
3,134,143,,,137,,,148,,,
1,,140,,,131,,,140,,,
1,,136,,144,134,,,131,,,
1,125,136,,,131,,,148,,,
2,,149,,152,115,,,146,,,
1,,138,,142,123,,,144,,,
2,,147,,148,115,,,145,,,
1,,120,146,,123,,,145,,,
3,,120,,,131,,120,144,,,
3,,127,,142,115,,,150,,,
0,,130,,134,100,,,150,,,
2,,132,,131,108,,,110,,,
2,,140,,,140,,,140,,130,
1,152,154,,,155,,,163,,,
1,145,140,,,150,,,143,,,
1,155,142,,,140,,,145,,,
1,,148,,,145,,134,146,,,
0,143,150,,,155,,,170,,,
1,,145,,168,143,,,146,,,
1,160,155,,,140,,,135,,,
1,,147,,144,134,,,149,,,
1,157,150,,,147,,,150,,,
1,,148,,150,137,,,146,,,
2,,147,,150,131,,,152,,,
1,,147,145,,134,,,143,,,
5,,141,,136,143,,,142,,,
4,,136,,,137,,138,148,,,
5,,138,,149,134,,,143,,,
К,143,140,,,100,,,120,,,
1,191,183,,,167,,,167,,,
2,,163,,,148,,177,162,,,
1,,152,,,156,,,145,,,
1,150,,,,143,,,151,,,
1,,140,,,149,,,144,,137,
1,,144,,,145,,,156,,131,
0,,132,142,,108,,,131,,,
К,,132,,,115,,140,134,,,
К,,170,,,180,,,157,,,
5,,132,,,108,,140,145,,,
1,157,147,,,173,,,170,,,
4,151,154,,,173,,,167,,,
3,166,156,,,148,,,156,,,
1,149,156,,,149,,,162,,,
1,,148,160,,148,,,156,,,
1,,141,172,,140,,,152,,,
1,,,,,153,,,154,,,151
1,,140,156,,149,,,154,,,
1,,151,152,,140,,,154,,,
5,153,143,,,137,,,159,,,
2,,136,160,,150,,,138,,,
1,,149,,,143,,150,146,,,
2,,136,147,,147,,,148,,,
1,125,144,,,140,,,145,,,
3,134,158,,,134,,,144,,,
1,143,136,,,137,,,131,,,
1,153,146,,,170,,,180,,,
1,150,152,,,150,,,162,,,
1,,143,152,,149,,,152,,,
2,,160,,,145,,,145,,,142
1,,134,,,151,,,152,,145,
3,,151,,,149,,,142,,,
1,147,152,,,137,,,144,,,
3,140,168,,,137,,,145,,,
1,,132,,,147,,,175,,118,
1,,144,,,131,,,144,,140,
1,145,132,,,131,,,148,,,
1,,146,,,123,,136,154,,,
3,150,130,,,131,,,146,,,
1,118,140,,,123,,,143,,,
1,,166,,,100,,,157,,100,
1,148,183,,,152,,,175,,,
1,,,,,150,,,154,,148,
2,,134,,156,152,,,142,,,
1,,148,158,,143,,,136,,,
1,,140,,,140,,,148,,137,
1,,124,,,140,,,146,,,
1,,145,,147,123,,,148,,,
0,,151,,154,134,,,143,,,
К,,190,,,136,,,173,,,
К,159,120,,,100,,,143,,,
1,162,149,,,167,,,172,,,
1,,172,,,167,,,170,,147,
1,169,163,,,149,,,175,,,
1,153,158,,,159,,,175,,,
1,152,152,,,163,,,162,,,
2,151,179,,,150,,,165,,,
1,157,144,,,159,,,167,,,
2,153,151,,,159,,,162,,,
5,152,152,,,163,,,157,,,
1,152,148,,,152,,,165,,,
1,151,163,,,145,,,167,,,
4,166,146,,,163,,,148,,,
1,,166,,,152,,,156,,149,
1,145,147,,,150,,,167,,,
5,,148,,,152,,,156,,,170
1,134,175,,,152,,,152,,,
1,155,147,,,150,,,154,,,
3,157,140,,,149,,,170,,,
2,148,168,,,147,,,149,,,
2,,151,,152,152,,,146,,,
5,157,147,,,152,,,156,,,
1,149,150,,,145,,,156,,,
1,125,168,,,151,,,150,,,
1,173,150,,,134,,,150,,,
2,150,141,,,149,,,150,,,
1,140,138,,,150,,,157,,,
1,145,160,,,137,,,159,,,
1,,140,,154,140,,,160,,,
4,145,143,,,148,,,162,,,
4,,140,,,147,,149,162,,,
4,137,149,,,151,,,159,,,
5,,160,,,149,,,152,,145,
3,185,146,,,131,,,154,,,
2,166,143,,,134,,,154,,,
3,151,140,,,152,,,150,,,
4,140,149,,,152,,,152,,,
5,137,136,,,152,,,162,,,
4,,149,,152,137,,,165,,,
3,148,152,,,147,,,149,,,
1,155,156,,,137,,,145,,,
1,134,158,,,143,,,149,,,
4,143,145,,,151,,,148,,,
2,147,149,,,143,,,143,,,
5,150,124,,,155,,,148,,,
5,,149,,160,143,,,145,,,
1,151,156,,,134,,,148,,,
1,150,138,,,140,,,150,,,
4,147,144,,,143,,,152,,,
2,,136,,144,149,,,138,,,
2,,153,,,140,,,142,,,
5,157,138,,,145,,,143,,,
2,118,150,,,150,,,146,,,
2,148,124,,,143,,,149,,,
1,137,142,,,143,,,146,,,
3,,141,,145,147,,,145,,,
1,,141,,147,140,,,143,,,
1,,144,,,145,,,134,,143,
1,149,143,,,134,,,148,,,
1,147,138,,,134,,,152,,,
2,147,144,,,134,,,142,,,
1,,138,,,145,,,144,,131,
3,,148,,136,140,,,144,,,
0,137,134,,,134,,,146,,,
2,,141,,,137,,,140,,125,
0,,127,,,100,,120,134,,,
К,157,,,,163,,,140,,,
1,,143,,142,159,,,143,,,
3,118,151,,,159,,,165,,,
4,,152,,,145,,138,145,,,
3,,144,,,137,,,144,,152,
2,149,138,,,134,,,148,,,
4,125,146,,,145,,,154,,,
4,145,142,,,145,,,138,,,
3,,143,,,137,,,150,,,
3,140,134,,,140,,,144,,,
2,118,136,,,134,,,157,,,
5,,124,,,143,,,138,,,
5,100,145,,,123,,,157,,,
1,,158,,145,167,,,160,,,
1,,154,,154,123,,,163,,,
3,,144,,,140,,,137,,,
3,,134,,145,134,,,143,,,
3,145,173,,,151,,,145,,,
2,137,146,,,123,,,134,,,
1,,156,166,,149,,,149,,,
1,,134,160,,131,,,156,,,
1,125,134,,,143,,,156,,,
4,,130,,,140,,125,148,,,
5,137,134,,,134,,,146,,,
4,109,134,,,145,,,146,,,
5,,141,,140,123,,,138,,,
3,109,146,,,131,,,149,,,
К,157,138,,,137,193,,152,,,
К,,168,,158,152,179,,157,,,
К,159,154,,,180,173,,163,,,
К,,142,,,140,184,143,160,,,
К,,170,138,,131,179,,160,,,
К,125,140,,,123,186,,140,,,
К,153,148,,,150,173,,152,,,
К,137,130,,,100,189,,138,,,
К,,141,,136,137,175,,154,,,
К,,130,,,108,179,138,148,,,
К,,138,,140,100,179,,144,,,
К,149,,,,137,165,,150,,,
К,162,148,,,184,149,,183,,,
К,131,127,,,115,175,,144,,,
К,118,132,,,145,169,,157,,,
К,,148,,160,143,161,,140,,,
К,118,140,,,137,167,,146,,,
К,148,158,,,167,150,,163,,,
К,148,154,,,134,157,,149,,,
К,,170,166,,115,152,,145,,,
К,131,145,,,140,144,,152,,,
К,,134,,,108,151,,138,,,116
К,,132,,147,100,140,,143,,,
К,,111,,,100,150,105,125,,,
1,,149,,166,167,,,172,,,
1,173,172,,,184,,,180,,,
1,,172,,,170,,167,163,,,
1,,179,,160,152,,,177,,,
1,,169,,,173,,,183,,134,
1,,172,,166,155,,,159,,,
2,,175,,170,152,,,150,,,
1,,173,,162,159,,,144,,,
1,162,183,,,149,,,143,,,
1,152,151,,,155,,,160,,,
1,,168,,148,147,,,163,,,
1,152,146,,,155,,,162,,,
1,,146,146,,152,,,170,,,
1,155,143,,,149,,,170,,,
1,140,158,,,152,,,167,,,
2,,148,,145,163,,,148,,,
2,,147,,162,148,,,162,,,
1,152,147,,,149,,,165,,,
1,145,150,,,155,,,156,,,
1,,150,,154,151,,,152,,,
1,143,160,,,145,,,156,,,
5,155,146,,,143,,,154,,,
0,148,145,,,150,,,150,,,
0,,149,,151,149,,,146,,,
3,,138,,144,145,,,159,,,
1,,141,119,,148,,,142,,,
1,,141,,149,137,,,140,,,
0,,142,144,,147,,,136,,,
1,134,146,,,123,,,165,,,
0,143,140,,,143,,,138,,,
1,,134,,,134,,131,145,,,
2,,169,,147,108,,,149,,,
2,,134,151,,123,,,142,,,
1,125,149,,,123,,,144,,,
1,,116,,,137,,,143,,125,
1,,138,138,,115,,,146,,,
1,,142,,,115,,131,146,,,
1,,143,,134,115,,,140,,,
1,,143,,140,115,,,125,,,
0,109,136,,,123,,,146,,,
1,,134,,145,108,,,131,,,
3,,127,,,108,,136,144,,,
1,157,172,,,163,,,172,,,
1,,141,,150,145,,,157,,,
1,,168,,,176,,,177,,164,
1,200,154,,,150,,,191,,,
2,,152,,,167,,,179,,,
1,,191,,158,155,,,160,,,
1,,151,,150,170,,,146,,,
3,150,158,,,163,,,163,,,
1,157,149,,,148,,,172,,,
1,,150,,,159,,,180,,140,
4,145,147,,,167,,,160,,,
2,143,151,,,150,,,163,,,
1,140,144,,,151,,,167,,,
1,137,143,,,155,,,160,,,
4,,148,,,151,,152,160,,,
1,151,149,,,143,,,157,,,
2,145,141,,,145,,,157,,,
1,,143,,142,145,,,157,,,
2,,160,147,,134,,,146,,,
1,134,145,,,131,,,146,,,
0,,156,,,131,,138,144,,,
3,,138,,146,115,,,170,,,
2,,138,,146,123,,,142,,,
3,,136,140,,115,,,143,,,
0,125,127,,,123,,,138,,,
0,,145,,,123,,,136,,118,
1,,146,,,131,,,131,,100,
0,,134,,134,108,,,136,,,
0,,130,,,100,,140,140,,,
1,148,163,,,159,,,143,,,
1,,151,,151,152,,,157,,,
2,,145,,140,137,,,159,,,
1,,144,,146,143,,,145,,,
1,,124,,144,151,,,146,,,
1,,140,,142,143,,,142,,,
1,,146,,144,131,,,156,,,
4,,150,,142,143,,,143,,,
2,,,150,,131,,,149,,,
2,134,145,,,134,,,149,,,
1,,145,144,,131,,,138,,,
4,,136,142,,134,,,131,,,
0,,152,,,153,,,160,,,
0,,148,,151,143,,,142,,,
4,,144,,156,134,,,154,,,
0,,144,,151,137,,,148,,,
1,,140,,160,150,,,130,,,
1,,148,,148,150,,,150,,,
1,,152,,156,147,,,146,,,
1,,166,,,155,,,167,,125,
5,155,146,,,140,,,165,,,
1,,130,,,151,,,163,,140,
1,,146,,,148,,136,148,,,
4,,140,,,137,,156,157,,,
1,140,138,,,131,,,163,,,
2,,149,147,,134,,,142,,,
1,,132,,,137,,136,142,,,
1,,149,,,138,,,127,,,
4,,145,,148,123,,,157,,,
3,,140,,140,134,,,143,,,
1,,132,,,134,,115,140,,,
2,120,130,,,140,,,130,,,
1,,192,,,153,,,174,,,
1,145,136,,,134,,,157,,,
1,137,138,,,131,,,144,,,
2,137,134,,,131,,,140,,,
1,,130,,140,130,,,130,,,
0,134,158,,,152,,,162,,,
0,,151,,,154,,,137,,,
К,140,149,,,151,,,148,,,
К,,132,,,134,,120,142,,,
К,,152,,,153,,,160,,,
К,152,143,,,163,,,159,,,
1,,172,,,167,,,162,,149,
1,149,146,,,115,,,142,,,
1,,156,,164,170,,,177,,,
2,185,149,,,159,,,136,,,
1,153,181,,,150,,,160,,,
1,,140,142,,152,,,167,,,
1,150,148,,,151,,,160,,,
1,148,143,,,155,,,146,,,
3,155,150,,,140,,,167,,,
1,,173,,,150,,,159,,131,
0,,143,,156,143,,,142,,,
1,140,141,,,147,,,138,,,
1,149,132,,,123,,,163,,,
1,,132,,149,134,,,145,,,
1,,140,,144,134,,,140,,,
0,,142,,160,123,,,143,,,
0,,147,,162,123,,,138,,,
0,,142,,145,131,,,138,,,
1,,140,,,108,,,149,,143,
1,,132,131,,131,,,134,,,
2,,134,,145,134,,,115,,,
0,118,132,,,148,,,131,,,
0,,136,,144,134,,,110,,,
1,,147,,,108,,120,145,,,
0,,144,,,123,,,152,,109,
1,118,134,,,108,,,143,,,
2,,130,,124,108,,,125,,,
2,,132,,128,108,,,110,,,
0,131,127,,,100,,,120,,,
0,173,148,,,145,,,149,,,
1,130,130,,,150,,,140,,,
0,,132,,154,140,,,145,,,
0,,136,,144,100,,,136,,,
К,,110,,,105,,,110,,110,
К,,138,,,140,,134,159,,,
1,148,183,,,151,,,167,,,
2,,146,,158,149,,,152,,,
1,137,156,,,152,,,156,,,
1,,147,,164,140,,,150,,,
1,,150,,147,123,,,152,,,
1,,141,,134,131,,,138,,,
0,,141,,,131,,,143,,,
4,,144,,,123,,136,146,,,
2,,132,,150,131,,,115,,,
1,,130,,144,115,,,140,,,
1,,138,145,,100,,,148,,,
1,,140,138,,108,,,131,,,
0,,141,,147,100,,,136,,,
0,,138,,,100,,136,144,,,
0,,105,,138,108,,,143,,,
1,,130,,,115,,,131,,109,
1,100,144,,,108,,,142,,,
3,,134,147,,100,,,115,,,
0,,124,,,115,,,140,,100,
0,110,,,,113,,,107,,,
1,149,152,,,159,,,115,,,
0,,142,,146,131,,,159,,,
К,157,147,,,148,,,165,,,
К,140,150,,,140,,,144,,,
