p,Іноземна мова,Історія України,Біологія,Географія,Математика,Творчий конкурс,Українська література,Українська мова,Українська мова і література,Фізика,Хімія
К,,166,128,,100,,,138,,,
К,,140,,,123,,105,138,,,
К,,134,,138,100,,,131,,,
К,,154,,,131,,,125,,,
К,145,173,,,173,,,172,,,
К,152,151,,,147,,,150,,,
К,125,132,,,131,,,136,,,
К,,,,133,119,,,,129,,
К,,149,,,107,,,136,,,
2,143,143,,,149,,,177,,,
1,,130,136,,108,,,143,,,
1,,136,,134,108,,,131,,,
1,179,185,,,167,,,175,,,
1,169,169,,,173,,,172,,,
3,,175,,164,163,,,170,,,
1,166,151,,,145,,,183,,,
1,,148,177,,150,,,152,,,
2,148,143,,,150,,,162,,,
0,,148,,145,143,,,163,,,
2,153,149,,,151,,,146,,,
0,148,158,,,143,,,148,,,
0,,138,,,159,,,142,,,
1,,140,,,134,,148,162,,,
0,,,148,,155,,,,129,,
2,145,144,,,134,,,152,,,
1,,140,,144,140,,,145,,,
1,143,124,,,148,,,146,,,
0,145,136,,,140,,,145,,,
1,,146,,142,137,,,143,,,
1,,136,140,,131,,,154,,,
0,,140,,140,130,,,130,,,
1,,134,,,115,,148,146,,,
2,,124,,,143,,120,140,,,
1,,144,,149,108,,,138,,,
0,143,142,,,108,,,148,,,
1,143,145,,,108,,,142,,,
2,,134,,,115,,138,145,,,
2,,141,,136,108,,,145,,,
1,145,145,,,108,,,136,,,
0,118,144,,,123,,,138,,,
0,109,120,,,131,,,152,,,
0,,138,,,100,,143,146,,,
0,143,120,,,108,,,145,,,
0,131,138,,,100,,,148,,,
0,,127,,,108,,131,145,,,
1,,136,,131,100,,,140,,,
2,118,136,,,100,,,144,,,
1,100,134,,,108,,,142,,,
0,109,127,,,115,,,125,,,
0,118,130,,,100,,,131,,,
К,151,138,,,155,,,160,,,
2,,130,,149,137,,,148,,,
4,,170,,,152,,183,180,,,
3,,191,,179,149,,,163,,,
1,,143,,,181,,,156,,,
4,137,170,,,159,,,175,,,
5,,163,,,143,,162,180,,,
1,,154,,162,148,,,160,,,
2,179,169,,,131,,,156,,,
1,159,145,,,147,,,159,,,
5,152,146,,,147,,,156,,,
0,,152,,154,147,,,149,,,
1,145,142,,,149,,,159,,,
1,,146,,146,140,,,163,,,
1,,152,,160,140,,,138,,,
1,118,151,,,148,,,152,,,
2,,144,,149,143,,,134,,,
4,,145,,142,131,,,152,,,
2,,138,,,140,,146,142,,,
1,118,138,,,145,,,150,,,
0,,134,,136,131,,,138,,,
5,,141,,131,134,,,120,,,
0,109,136,,,115,,,138,,,
