p,Українська мова,Математика,Історія України,Іноземна мова,Біологія,Фізика,Українська література,Географія,Українська мова і література,Хімія,Творчий конкурс
К,144,100,134,,134,,,,,,
К,167,173,160,185,,,,,,,
1,140,140,130,,,,,170,,,
1,180,152,148,179,,,,,,,
1,152,170,140,,,166,,,,,
1,165,149,140,,,173,,,,,
1,165,145,166,,,166,,,,,
1,159,167,142,,,147,,,,,
1,175,147,141,159,,,,,,,
1,167,150,149,,,,,156,,,
1,163,151,149,153,,,,,,,
1,142,157,,,144,,,,,,
1,163,147,144,,,143,,,,,
2,152,150,150,,,143,,,,,
1,157,143,132,155,,,,,,,
1,145,149,134,,,,,152,,,
1,150,149,130,145,,,,,,,
1,154,148,140,134,,,,,,,
2,146,137,152,152,,,,,,,
1,157,147,140,125,,,,,,,
3,140,148,149,,,,,148,,,
1,134,147,141,148,,,,,,,
1,140,143,141,,,,150,,,,
2,144,140,141,,151,,,,,,
1,140,145,144,137,,,,,,,
4,145,140,145,149,,,,,,,
0,145,131,138,,,131,,,,,
4,148,145,145,,,109,,,,,
1,136,115,132,,,,138,,,,
1,140,115,138,,,118,,,,,
2,120,115,134,,,,,140,,,
1,165,170,158,,,,,160,,,
2,167,145,163,,,,170,,,,
1,154,163,150,,,149,,,,,
1,156,147,146,,,,,170,,,
1,157,145,166,,,,,152,,,
1,152,145,151,157,,,,,,,
1,162,145,148,,,137,,,,,
1,148,145,140,,,,,148,,,
1,153,137,146,,,,,,,,
1,125,149,142,,151,,,,,,
1,146,140,142,,,,,140,,,
1,152,140,144,131,,,,,,,
3,149,147,136,134,,,,,,,
1,150,151,145,,,118,,,,,
1,143,131,148,134,,,,,,,
1,142,123,141,,145,,,,,,
1,148,123,138,,,,125,,,,
1,110,134,138,,,,,136,,,
1,136,131,142,,,100,,,,,
1,165,151,156,,,,165,,,,
1,160,152,150,155,,,,,,,
1,156,134,169,162,,,,,,,
1,149,147,147,,,,,150,,,
3,146,151,152,147,,,,,,,
1,156,159,151,,,125,,,,,
1,144,140,149,,,,,156,,,
1,149,145,,140,,,,,,,
1,148,137,142,147,,,,,,,
1,151,134,146,,,,,,,,
1,146,140,147,,,137,,,,,
1,138,131,156,,,147,,,,,
1,136,140,142,147,,,,,,,
1,146,134,143,134,,,,,,,
2,146,131,132,,,,,148,,,
2,165,123,120,,,143,,,,,
1,150,115,144,,,,,164,,,
4,145,134,143,,138,,,,,,
3,142,134,144,,,,,,,,
1,142,125,146,,,,,,,,
1,142,115,147,,,,,156,,,
3,165,149,142,,,100,,,,,
0,134,115,142,134,,,,,,,
1,175,180,177,,,166,,,,,
1,170,159,158,148,,,,,,,
2,170,148,143,,,140,,,,,
3,156,143,177,,,143,,,,,
1,156,145,138,,,147,,,,,
1,146,150,148,131,,,,,,,
5,150,145,138,155,,,,,,,
1,146,134,145,151,,,,,,,
1,148,131,141,,,,,150,,,
1,150,140,132,,,134,,,,,
1,140,140,146,,,134,,,,,
5,145,134,141,,,,,150,,,
1,138,134,136,,,,,147,,,
1,138,140,138,,,134,,,,,
3,148,137,143,134,,,,,,,
1,140,131,140,,,,,,,,
1,131,134,136,,,,,144,,,
1,148,131,136,125,,,,,,,
2,146,115,149,,,,,152,,,
1,144,123,138,,,,,142,,,
2,145,115,147,,,,,148,,,
1,145,123,120,,146,,,,,,
3,144,131,120,,,,120,,,,
3,150,115,127,,,,,142,,,
0,150,100,130,,,,,134,,,
2,110,108,132,,,,,131,,,
2,140,140,140,,,130,,,,,
1,163,155,154,152,,,,,,,
1,143,150,140,145,,,,,,,
1,145,140,142,155,,,,,,,
1,146,145,148,,,,134,,,,
0,170,155,150,143,,,,,,,
1,146,143,145,,,,,168,,,
1,135,140,155,160,,,,,,,
1,149,134,147,,,,,144,,,
1,150,147,150,157,,,,,,,
1,146,137,148,,,,,150,,,
2,152,131,147,,,,,150,,,
1,143,134,147,,145,,,,,,
5,142,143,141,,,,,136,,,
4,148,137,136,,,,138,,,,
5,143,134,138,,,,,149,,,
К,120,100,140,143,,,,,,,
1,167,167,183,191,,,,,,,
2,162,148,163,,,,177,,,,
1,145,156,152,,,,,,,,
1,151,143,,150,,,,,,,
1,144,149,140,,,137,,,,,
1,156,145,144,,,131,,,,,
0,131,108,132,,142,,,,,,
К,134,115,132,,,,140,,,,
К,157,180,170,,,,,,,,
5,145,108,132,,,,140,,,,
1,170,173,147,157,,,,,,,
4,167,173,154,151,,,,,,,
3,156,148,156,166,,,,,,,
1,162,149,156,149,,,,,,,
1,156,148,148,,160,,,,,,
1,152,140,141,,172,,,,,,
1,154,153,,,,,,,,151,
1,154,149,140,,156,,,,,,
1,154,140,151,,152,,,,,,
5,159,137,143,153,,,,,,,
2,138,150,136,,160,,,,,,
1,146,143,149,,,,150,,,,
2,148,147,136,,147,,,,,,
1,145,140,144,125,,,,,,,
3,144,134,158,134,,,,,,,
1,131,137,136,143,,,,,,,
1,180,170,146,153,,,,,,,
1,162,150,152,150,,,,,,,
1,152,149,143,,152,,,,,,
2,145,145,160,,,,,,,142,
1,152,151,134,,,145,,,,,
3,142,149,151,,,,,,,,
1,144,137,152,147,,,,,,,
3,145,137,168,140,,,,,,,
1,175,147,132,,,118,,,,,
1,144,131,144,,,140,,,,,
1,148,131,132,145,,,,,,,
1,154,123,146,,,,136,,,,
3,146,131,130,150,,,,,,,
1,143,123,140,118,,,,,,,
1,157,100,166,,,100,,,,,
1,175,152,183,148,,,,,,,
1,154,150,,,,148,,,,,
2,142,152,134,,,,,156,,,
1,136,143,148,,158,,,,,,
1,148,140,140,,,137,,,,,
1,146,140,124,,,,,,,,
1,148,123,145,,,,,147,,,
0,143,134,151,,,,,154,,,
К,173,136,190,,,,,,,,
К,143,100,120,159,,,,,,,
1,172,167,149,162,,,,,,,
1,170,167,172,,,147,,,,,
1,175,149,163,169,,,,,,,
1,175,159,158,153,,,,,,,
1,162,163,152,152,,,,,,,
2,165,150,179,151,,,,,,,
1,167,159,144,157,,,,,,,
2,162,159,151,153,,,,,,,
5,157,163,152,152,,,,,,,
1,165,152,148,152,,,,,,,
1,167,145,163,151,,,,,,,
4,148,163,146,166,,,,,,,
1,156,152,166,,,149,,,,,
1,167,150,147,145,,,,,,,
5,156,152,148,,,,,,,170,
1,152,152,175,134,,,,,,,
1,154,150,147,155,,,,,,,
3,170,149,140,157,,,,,,,
2,149,147,168,148,,,,,,,
2,146,152,151,,,,,152,,,
5,156,152,147,157,,,,,,,
1,156,145,150,149,,,,,,,
1,150,151,168,125,,,,,,,
1,150,134,150,173,,,,,,,
2,150,149,141,150,,,,,,,
1,157,150,138,140,,,,,,,
1,159,137,160,145,,,,,,,
1,160,140,140,,,,,154,,,
4,162,148,143,145,,,,,,,
4,162,147,140,,,,149,,,,
4,159,151,149,137,,,,,,,
5,152,149,160,,,145,,,,,
3,154,131,146,185,,,,,,,
2,154,134,143,166,,,,,,,
3,150,152,140,151,,,,,,,
4,152,152,149,140,,,,,,,
5,162,152,136,137,,,,,,,
4,165,137,149,,,,,152,,,
3,149,147,152,148,,,,,,,
1,145,137,156,155,,,,,,,
1,149,143,158,134,,,,,,,
4,148,151,145,143,,,,,,,
2,143,143,149,147,,,,,,,
5,148,155,124,150,,,,,,,
5,145,143,149,,,,,160,,,
1,148,134,156,151,,,,,,,
1,150,140,138,150,,,,,,,
4,152,143,144,147,,,,,,,
2,138,149,136,,,,,144,,,
2,142,140,153,,,,,,,,
5,143,145,138,157,,,,,,,
2,146,150,150,118,,,,,,,
2,149,143,124,148,,,,,,,
1,146,143,142,137,,,,,,,
3,145,147,141,,,,,145,,,
1,143,140,141,,,,,147,,,
1,134,145,144,,,143,,,,,
1,148,134,143,149,,,,,,,
1,152,134,138,147,,,,,,,
2,142,134,144,147,,,,,,,
1,144,145,138,,,131,,,,,
3,144,140,148,,,,,136,,,
0,146,134,134,137,,,,,,,
2,140,137,141,,,125,,,,,
0,134,100,127,,,,120,,,,
К,140,163,,157,,,,,,,
1,143,159,143,,,,,142,,,
3,165,159,151,118,,,,,,,
4,145,145,152,,,,138,,,,
3,144,137,144,,,152,,,,,
2,148,134,138,149,,,,,,,
4,154,145,146,125,,,,,,,
4,138,145,142,145,,,,,,,
3,150,137,143,,,,,,,,
3,144,140,134,140,,,,,,,
2,157,134,136,118,,,,,,,
5,138,143,124,,,,,,,,
5,157,123,145,100,,,,,,,
1,160,167,158,,,,,145,,,
1,163,123,154,,,,,154,,,
3,137,140,144,,,,,,,,
3,143,134,134,,,,,145,,,
3,145,151,173,145,,,,,,,
2,134,123,146,137,,,,,,,
1,149,149,156,,166,,,,,,
1,156,131,134,,160,,,,,,
1,156,143,134,125,,,,,,,
4,148,140,130,,,,125,,,,
5,146,134,134,137,,,,,,,
4,146,145,134,109,,,,,,,
5,138,123,141,,,,,140,,,
3,149,131,146,109,,,,,,,
К,152,137,138,157,,,,,,,193
К,157,152,168,,,,,158,,,179
К,163,180,154,159,,,,,,,173
К,160,140,142,,,,143,,,,184
К,160,131,170,,138,,,,,,179
К,140,123,140,125,,,,,,,186
К,152,150,148,153,,,,,,,173
К,138,100,130,137,,,,,,,189
К,154,137,141,,,,,136,,,175
К,148,108,130,,,,138,,,,179
К,144,100,138,,,,,140,,,179
К,150,137,,149,,,,,,,165
К,183,184,148,162,,,,,,,149
К,144,115,127,131,,,,,,,175
К,157,145,132,118,,,,,,,169
К,140,143,148,,,,,160,,,161
К,146,137,140,118,,,,,,,167
К,163,167,158,148,,,,,,,150
К,149,134,154,148,,,,,,,157
К,145,115,170,,166,,,,,,152
К,152,140,145,131,,,,,,,144
К,138,108,134,,,,,,,116,151
К,143,100,132,,,,,147,,,140
К,125,100,111,,,,105,,,,150
1,,,,,,,,,,,
1,172,167,149,,,,,166,,,
1,180,184,172,173,,,,,,,
1,163,170,172,,,,167,,,,
1,177,152,179,,,,,160,,,
1,183,173,169,,,134,,,,,
1,159,155,172,,,,,166,,,
2,150,152,175,,,,,170,,,
1,144,159,173,,,,,162,,,
1,143,149,183,162,,,,,,,
1,160,155,151,152,,,,,,,
1,163,147,168,,,,,148,,,
1,162,155,146,152,,,,,,,
1,170,152,146,,146,,,,,,
1,170,149,143,155,,,,,,,
1,167,152,158,140,,,,,,,
2,148,163,148,,,,,145,,,
2,162,148,147,,,,,162,,,
1,165,149,147,152,,,,,,,
1,156,155,150,145,,,,,,,
1,152,151,150,,,,,154,,,
1,156,145,160,143,,,,,,,
5,154,143,146,155,,,,,,,
0,150,150,145,148,,,,,,,
0,146,149,149,,,,,151,,,
3,159,145,138,,,,,144,,,
1,142,148,141,,119,,,,,,
1,140,137,141,,,,,149,,,
0,136,147,142,,144,,,,,,
1,165,123,146,134,,,,,,,
0,138,143,140,143,,,,,,,
1,145,134,134,,,,131,,,,
2,149,108,169,,,,,147,,,
2,142,123,134,,151,,,,,,
1,144,123,149,125,,,,,,,
1,143,137,116,,,125,,,,,
1,146,115,138,,138,,,,,,
1,146,115,142,,,,131,,,,
1,140,115,143,,,,,134,,,
1,125,115,143,,,,,140,,,
0,146,123,136,109,,,,,,,
1,131,108,134,,,,,145,,,
3,144,108,127,,,,136,,,,
1,172,163,172,157,,,,,,,
1,157,145,141,,,,,150,,,
1,177,176,168,,,164,,,,,
1,191,150,154,200,,,,,,,
2,179,167,152,,,,,,,,
1,160,155,191,,,,,158,,,
1,146,170,151,,,,,150,,,
3,163,163,158,150,,,,,,,
1,172,148,149,157,,,,,,,
1,180,159,150,,,140,,,,,
4,160,167,147,145,,,,,,,
2,163,150,151,143,,,,,,,
1,167,151,144,140,,,,,,,
1,160,155,143,137,,,,,,,
4,160,151,148,,,,152,,,,
1,157,143,149,151,,,,,,,
2,157,145,141,145,,,,,,,
1,157,145,143,,,,,142,,,
2,146,134,160,,147,,,,,,
1,146,131,145,134,,,,,,,
0,144,131,156,,,,138,,,,
3,170,115,138,,,,,146,,,
2,142,123,138,,,,,146,,,
3,143,115,136,,140,,,,,,
0,138,123,127,125,,,,,,,
0,136,123,145,,,118,,,,,
1,131,131,146,,,100,,,,,
0,136,108,134,,,,,134,,,
0,140,100,130,,,,140,,,,
1,143,159,163,148,,,,,,,
1,157,152,151,,,,,151,,,
2,159,137,145,,,,,140,,,
1,145,143,144,,,,,146,,,
1,146,151,124,,,,,144,,,
1,142,143,140,,,,,142,,,
1,156,131,146,,,,,144,,,
4,143,143,150,,,,,142,,,
2,149,131,,,150,,,,,,
2,149,134,145,134,,,,,,,
1,138,131,145,,144,,,,,,
4,131,134,136,,142,,,,,,
0,160,153,152,,,,,,,,
0,142,143,148,,,,,151,,,
4,154,134,144,,,,,156,,,
0,148,137,144,,,,,151,,,
1,130,150,140,,,,,160,,,
1,150,150,148,,,,,148,,,
1,146,147,152,,,,,156,,,
1,167,155,166,,,125,,,,,
5,165,140,146,155,,,,,,,
1,163,151,130,,,140,,,,,
1,148,148,146,,,,136,,,,
4,157,137,140,,,,156,,,,
1,163,131,138,140,,,,,,,
2,142,134,149,,147,,,,,,
1,142,137,132,,,,136,,,,
1,127,138,149,,,,,,,,
4,157,123,145,,,,,148,,,
3,143,134,140,,,,,140,,,
1,140,134,132,,,,115,,,,
2,130,140,130,120,,,,,,,
1,174,153,192,,,,,,,,
1,157,134,136,145,,,,,,,
1,144,131,138,137,,,,,,,
2,140,131,134,137,,,,,,,
1,130,130,130,,,,,140,,,
0,162,152,158,134,,,,,,,
0,137,154,151,,,,,,,,
К,148,151,149,140,,,,,,,
К,142,134,132,,,,120,,,,
К,160,153,152,,,,,,,,
К,159,163,143,152,,,,,,,
1,162,167,172,,,149,,,,,
1,142,115,146,149,,,,,,,
1,177,170,156,,,,,164,,,
2,136,159,149,185,,,,,,,
1,160,150,181,153,,,,,,,
1,167,152,140,,142,,,,,,
1,160,151,148,150,,,,,,,
1,146,155,143,148,,,,,,,
3,167,140,150,155,,,,,,,
1,159,150,173,,,131,,,,,
0,142,143,143,,,,,156,,,
1,138,147,141,140,,,,,,,
1,163,123,132,149,,,,,,,
1,145,134,132,,,,,149,,,
1,140,134,140,,,,,144,,,
0,143,123,142,,,,,160,,,
0,138,123,147,,,,,162,,,
0,138,131,142,,,,,145,,,
1,149,108,140,,,143,,,,,
1,134,131,132,,131,,,,,,
2,115,134,134,,,,,145,,,
0,131,148,132,118,,,,,,,
0,110,134,136,,,,,144,,,
1,145,108,147,,,,120,,,,
0,152,123,144,,,109,,,,,
1,143,108,134,118,,,,,,,
2,125,108,130,,,,,124,,,
2,110,108,132,,,,,128,,,
0,120,100,127,131,,,,,,,
0,149,145,148,173,,,,,,,
1,140,150,130,130,,,,,,,
0,145,140,132,,,,,154,,,
0,136,100,136,,,,,144,,,
К,110,105,110,,,110,,,,,
К,159,140,138,,,,134,,,,
1,167,151,183,148,,,,,,,
2,152,149,146,,,,,158,,,
1,156,152,156,137,,,,,,,
1,150,140,147,,,,,164,,,
1,152,123,150,,,,,147,,,
1,138,131,141,,,,,134,,,
0,143,131,141,,,,,,,,
4,146,123,144,,,,136,,,,
2,115,131,132,,,,,150,,,
1,140,115,130,,,,,144,,,
1,148,100,138,,145,,,,,,
1,131,108,140,,138,,,,,,
0,136,100,141,,,,,147,,,
0,144,100,138,,,,136,,,,
0,143,108,105,,,,,138,,,
1,131,115,130,,,109,,,,,
1,142,108,144,100,,,,,,,
3,115,100,134,,147,,,,,,
0,140,115,124,,,100,,,,,
0,107,113,,110,,,,,,,
1,115,159,152,149,,,,,,,
0,159,131,142,,,,,146,,,
К,165,148,147,157,,,,,,,
К,144,140,150,140,,,,,,,
