p,Українська мова,Математика,Історія України,Іноземна мова,Біологія,Фізика,Українська література,Географія,Українська мова і література,Хімія,Творчий конкурс
К,138,100,166,,128,,,,,,
К,138,123,140,,,,105,,,,
К,131,100,134,,,,,138,,,
К,125,131,154,,,,,,,,
К,172,173,173,145,,,,,,,
К,150,147,151,152,,,,,,,
К,136,131,132,125,,,,,,,
К,,119,,,,,,133,129,,
К,136,107,149,,,,,,,,
2,177,149,143,143,,,,,,,
1,143,108,130,,136,,,,,,
1,131,108,136,,,,,134,,,
1,175,167,185,179,,,,,,,
1,172,173,169,169,,,,,,,
3,170,163,175,,,,,164,,,
1,183,145,151,166,,,,,,,
1,152,150,148,,177,,,,,,
2,162,150,143,148,,,,,,,
0,163,143,148,,,,,145,,,
2,146,151,149,153,,,,,,,
0,148,143,158,148,,,,,,,
0,142,159,138,,,,,,,,
1,162,134,140,,,,148,,,,
0,,155,,,148,,,,129,,
2,152,134,144,145,,,,,,,
1,145,140,140,,,,,144,,,
1,146,148,124,143,,,,,,,
0,145,140,136,145,,,,,,,
1,143,137,146,,,,,142,,,
1,154,131,136,,140,,,,,,
0,130,130,140,,,,,140,,,
1,146,115,134,,,,148,,,,
2,140,143,124,,,,120,,,,
1,138,108,144,,,,,149,,,
0,148,108,142,143,,,,,,,
1,142,108,145,143,,,,,,,
2,145,115,134,,,,138,,,,
2,145,108,141,,,,,136,,,
1,136,108,145,145,,,,,,,
0,138,123,144,118,,,,,,,
0,152,131,120,109,,,,,,,
0,146,100,138,,,,143,,,,
0,145,108,120,143,,,,,,,
0,148,100,138,131,,,,,,,
0,145,108,127,,,,131,,,,
1,140,100,136,,,,,131,,,
2,144,100,136,118,,,,,,,
1,142,108,134,100,,,,,,,
0,125,115,127,109,,,,,,,
0,131,100,130,118,,,,,,,
К,160,155,138,151,,,,,,,
2,148,137,130,,,,,149,,,
4,180,152,170,,,,183,,,,
3,163,149,191,,,,,179,,,
1,156,181,143,,,,,,,,
4,175,159,170,137,,,,,,,
5,180,143,163,,,,162,,,,
1,160,148,154,,,,,162,,,
2,156,131,169,179,,,,,,,
1,159,147,145,159,,,,,,,
5,156,147,146,152,,,,,,,
0,149,147,152,,,,,154,,,
1,159,149,142,145,,,,,,,
1,163,140,146,,,,,146,,,
1,138,140,152,,,,,160,,,
1,152,148,151,118,,,,,,,
2,134,143,144,,,,,149,,,
4,152,131,145,,,,,142,,,
2,142,140,138,,,,146,,,,
1,150,145,138,118,,,,,,,
0,138,131,134,,,,,136,,,
5,120,134,141,,,,,131,,,
0,138,115,136,109,,,,,,,
К,143,143,154,,,,143,,,,
2,172,149,170,,,,,162,,,
1,150,151,160,,,,,166,,,
3,143,145,145,,154,,,,,,
2,150,108,145,,,,,164,,,
3,135,119,,,148,,,,,,
1,148,170,142,,,156,,,,,
1,180,147,156,149,,,,,,,
1,152,150,169,152,,,,,,,
1,162,145,158,140,,,,,,,
1,136,134,146,140,,,,,,,
2,146,131,124,,,,,136,,,
4,131,131,151,131,,,,,,,
1,136,131,134,125,,,,,,,
1,200,200,192,,,,,,,,
1,186,189,197,162,,,,,,,
1,180,184,179,185,,,,,,,
1,180,180,197,179,,,,,,,
2,195,170,177,185,,,,,,,
1,173,173,,194,,,,,,,
5,180,194,172,155,,,,,,,
1,183,189,170,,,164,,,,,
2,180,167,143,200,,,,,,,
2,177,180,185,153,,,,,,,
1,167,173,160,185,,,,,,,
1,165,170,169,185,,,,,,,
2,160,194,168,149,,,,,,,
1,157,180,170,,,,,,,,
1,162,184,163,,,,,160,,,
1,153,193,,151,,,,,,,
1,167,173,147,185,,,,,,,
1,177,170,160,169,,,,,,,
1,180,167,160,169,,,,,,,
1,154,180,168,166,,,,,,,
1,162,189,152,152,,,,,,,
2,160,170,160,179,,,,,,,
2,165,173,170,162,,,,,,,
1,167,176,151,162,,,,,,,
1,167,155,175,179,,,,,,,
1,186,149,173,169,,,,,,,
1,186,155,172,,,,,151,,,
1,170,148,177,179,,,,,,,
1,162,155,147,191,,,,,,,
2,170,184,136,,,147,,,,,
1,165,167,154,162,,,,,,,
3,182,153,160,,,,,,,,
1,163,155,183,162,,,,,,,
1,163,167,146,166,,,,,,,
2,156,176,152,151,,,,,,,
1,180,152,175,151,,,,,,,
2,163,167,151,159,,,,,,,
1,177,152,169,155,,,,,,,
1,152,170,146,,,164,,,,,
1,159,176,148,,,150,,,,,
1,150,173,152,155,,,,,,,
2,180,170,141,137,,,,,,,
1,165,159,149,162,,,,,,,
5,167,149,181,155,,,,,,,
1,172,150,154,166,,,,,,,
1,177,147,144,169,,,,,,,
2,186,150,141,157,,,,,,,
0,174,156,156,,,,,,,,
2,167,167,144,145,,,,,,,
0,156,163,141,162,,,,,,,
2,157,163,147,157,,,,,,,
1,163,163,145,152,,,,,,,
3,150,147,,181,,,,,,,
1,180,159,173,118,,,,,,,
1,162,159,149,150,,,,,,,
1,159,149,152,166,,,,,,,
1,167,152,151,153,,,,,,,
1,167,147,151,,,,156,,,,
1,157,151,150,159,,,,,,,
1,148,145,173,162,,,,,,,
1,162,148,177,140,,,,,,,
1,167,151,146,,,,,144,,,
1,156,159,166,131,,,,,,,
1,157,151,143,,,156,,,,,
1,165,151,146,147,,,,,,,
1,170,147,147,,144,,,,,,
1,163,150,146,149,,,,,,,
1,156,151,151,151,,,,,,,
3,160,151,143,,,,,146,,,
4,157,149,149,150,,,,,,,
1,150,150,146,,158,,,,,,
5,152,145,160,152,,,,,,,
0,148,151,143,157,,,,,,,
1,154,148,147,,,,,,,,
1,148,151,146,151,,,,,,,
0,156,151,150,140,,,,,,,
1,148,152,143,,151,,,,,,
1,162,145,144,147,,,,,,,
0,148,148,141,157,,,,,,,
0,157,145,146,148,,,,,,,
1,154,145,148,149,,,,,,,
0,142,149,160,,,,,144,,,
1,150,150,149,143,,,,,,,
1,144,151,154,143,,,,,,,
1,159,143,140,149,,,,,,,
1,144,150,147,147,,,,,,,
3,144,143,142,162,,,,,,,
3,159,115,160,179,,,,,,,
0,148,143,142,153,,,,,,,
2,148,155,145,131,,,,,,,
1,149,143,149,147,,,,,,,
0,145,147,140,150,,,,,,,
К,154,143,138,,,,,152,,,
К,146,123,145,,,,,140,,,
К,138,151,148,134,,,,,,,
1,156,163,170,169,,,,,,,
1,165,145,169,155,,,,,,,
1,159,148,173,151,,,,,,,
1,150,140,150,150,,,,,,,
2,142,145,136,145,,,,,,,
1,143,134,151,143,,,,,,,
1,191,180,156,191,,,,,,,
1,183,180,166,179,,,,,,,
1,167,180,188,173,,,,,,,
1,180,194,173,,,152,,,,,
1,177,189,163,147,,,,,,,
1,177,189,146,155,,,,,,,
1,145,184,181,,,,,168,,,
1,180,151,173,191,,,,,,,
1,191,155,163,179,,,,,,,
1,165,194,142,153,,,,,,,
1,191,159,179,157,,,,,,,
2,191,163,173,153,,,,,,,
1,160,163,147,200,,,,,,,
1,167,184,168,143,,,,,,,
1,167,159,163,185,,,,,,,
1,175,170,160,159,,,,,,,
1,162,155,166,185,,,,,,,
1,177,170,158,148,,,,,,,
1,167,163,170,,,,,160,,,
1,183,170,150,143,,,,,,,
1,165,167,141,169,,,,,,,
1,172,155,170,162,,,,,,,
